"","pathway","N","DE","P.DE","FDR","mean_change_PM_vs_BM","dir","subset"
"1","GO:0005737 cytoplasm",9017,5323,4.57761777152347e-11,7.86526285503162e-07,-0.00486719867923795,"hypo","Cellular components"
"2","GO:0016043 cellular component organization",4140,2559,1.55410164167855e-10,9.39331360069018e-07,-0.00373943296585821,"hypo","Biological processes"
"3","GO:0044763 single-organism cellular process",9550,5629,1.99433934174339e-10,9.39331360069018e-07,-0.00543435826157082,"hypo","Biological processes"
"4","GO:0030054 cell junction",757,537,2.18678002576887e-10,9.39331360069018e-07,-0.00771993514470449,"hypo","Cellular components"
"5","GO:0005515 protein binding",7303,4372,3.25943627463962e-10,1.12007268141716e-06,-0.00417104021365321,"hypo","Molecular function"
"6","GO:0050794 regulation of cellular process",7678,4548,4.0206783669165e-10,1.15138826167265e-06,-0.00451943566870908,"hypo","Biological processes"
"7","GO:0071840 cellular component organization or biogenesis",4252,2609,9.30133880835648e-10,2.28308004864544e-06,-0.0036721804560984,"hypo","Biological processes"
"8","GO:0009987 cellular process",12792,7385,1.33559881884335e-09,2.8685323631708e-06,-0.00506819147818101,"hypo","Biological processes"
"9","GO:0050789 regulation of biological process",8089,4759,2.68479324414488e-09,5.12556861343303e-06,-0.00475031487955386,"hypo","Biological processes"
"10","GO:0043167 ion binding",5715,3399,3.99758360624438e-09,6.8686481522491e-06,-0.00576982997973493,"hypo","Molecular function"
"11","GO:0023052 signaling",4596,2805,6.36491714049349e-09,9.11350052566326e-06,-0.00597034847124161,"hypo","Biological processes"
"12","GO:0044700 single organism signaling",4596,2805,6.36491714049349e-09,9.11350052566326e-06,-0.00597034847124161,"hypo","Biological processes"
"13","GO:0044699 single-organism process",10596,6161,9.30479643494446e-09,1.20663546578304e-05,-0.00550621519742869,"hypo","Biological processes"
"14","GO:0007154 cell communication",4705,2867,9.831740496428e-09,1.20663546578304e-05,-0.00608099178318977,"hypo","Biological processes"
"15","GO:0065007 biological regulation",8569,5021,1.30272543032464e-08,1.49222855625587e-05,-0.00483990105403204,"hypo","Biological processes"
"16","GO:0051716 cellular response to stimulus",4990,2995,1.87644427845673e-08,2.01506659952772e-05,-0.00593509490725451,"hypo","Biological processes"
"17","GO:0005488 binding",11695,6748,5.69055919413369e-08,5.75148165138853e-05,-0.00492660329197392,"hypo","Molecular function"
"18","GO:0030030 cell projection organization",934,643,7.2575677149447e-08,6.54178738253014e-05,-0.00428583832609031,"hypo","Biological processes"
"19","GO:0043227 membrane-bounded organelle",9561,5514,7.49289166657864e-08,6.54178738253014e-05,-0.00355706421250678,"hypo","Cellular components"
"20","GO:0044767 single-organism developmental process",3434,2141,8.37129626084151e-08,6.54178738253014e-05,-0.00478258795796835,"hypo","Biological processes"
"21","GO:0044237 cellular metabolic process",8510,4914,8.39161733941199e-08,6.54178738253014e-05,-0.00366375294507984,"hypo","Biological processes"
"22","GO:0016773 phosphotransferase activity, alcohol group as acceptor",709,492,8.60788133902892e-08,6.54178738253014e-05,-0.00738712596989259,"hypo","Molecular function"
"23","GO:0016301 kinase activity",766,526,8.75690314271873e-08,6.54178738253014e-05,-0.00680590787051257,"hypo","Molecular function"
"24","GO:0005634 nucleus",5832,3409,1.92649144137813e-07,0.000137920733107329,-0.00250127855652837,"hypo","Cellular components"
