"","pathway","N","DE","P.DE","FDR","mean_change_PH_vs_BH","dir","subset"
"1","GO:0048468 cell development",1491,882,2.38004600854437e-08,0.000408939505188093,-0.00419536241108196,"hypo","Biological processes"
"2","GO:0048699 generation of neurons",1066,652,6.85282977574352e-08,0.000588726606034126,-0.00472928570657702,"hypo","Biological processes"
"3","GO:0022008 neurogenesis",1133,686,1.62884160635964e-07,0.00079468257299257,-0.00446185830957108,"hypo","Biological processes"
"4","GO:0007399 nervous system development",1722,1001,1.85003509019339e-07,0.00079468257299257,-0.00486754305603425,"hypo","Biological processes"
"5","GO:0030030 cell projection organization",934,573,2.64232127408585e-07,0.000908007282626862,-0.00270908926772849,"hypo","Biological processes"
"6","GO:0030182 neuron differentiation",982,599,4.5960056472058e-07,0.0013161428171715,-0.00502064599075362,"hypo","Biological processes"
"7","GO:0006996 organelle organization",2150,1173,1.04274690075361e-06,0.00255949674982123,-0.000762940978756309,"hypo","Biological processes"
"8","GO:0048666 neuron development",798,495,2.28715230282855e-06,0.00488111739615448,-0.00429101365153702,"hypo","Biological processes"
"9","GO:0031175 neuron projection development",693,437,2.55674872339602e-06,0.00488111739615448,-0.00317292460874301,"hypo","Biological processes"
"10","GO:0048858 cell projection morphogenesis",673,423,3.29460748457761e-06,0.00566079458000126,-0.00334396729577569,"hypo","Biological processes"
"11","GO:0048812 neuron projection morphogenesis",567,365,3.7267487564749e-06,0.00582118155761379,-0.00338893671596047,"hypo","Biological processes"
"12","GO:0005737 cytoplasm",9017,4548,7.28389305176186e-06,0.0104293208679477,-0.000693520250574031,"hypo","Cellular components"
"13","GO:0032990 cell part morphogenesis",685,427,9.29538081252121e-06,0.0120954097089598,-0.00334877920049486,"hypo","Biological processes"
"14","GO:0044767 single-organism developmental process",3434,1865,9.85541473201238e-06,0.0120954097089598,-0.00326008305018776,"hypo","Biological processes"
"15","GO:0016043 cellular component organization",4140,2190,1.2733548899644e-05,0.0145858558129122,-0.00145179360644658,"hypo","Biological processes"
"16","GO:0048731 system development",3387,1821,2.0911230567833e-05,0.0224560477260317,-0.00344380099626531,"hypo","Biological processes"
"17","GO:0005515 protein binding",7303,3743,2.56676703772328e-05,0.0259424654365656,-0.00102361464424692,"hypo","Molecular function"
