"","cpg","t","p.value","conf.int_0.025","conf.int_0.975","delta_M","UCSC_RefGene_Name","Regulatory_Feature_Group","Relation_to_Island"
"1","cg00000109",3.4773247019436,0.0103034176726719,0.104395862899041,0.548103761281211,0.326249812090126,"FNDC3B","","OpenSea"
"2","cg00003181",2.39288248520042,0.0479651827750273,0.00378331148031482,0.63695169715501,0.320367504317663,"NA","","OpenSea"
"3","cg00003625",-3.35226642255133,0.012212825241109,-1.09563094359348,-0.189279695096152,-0.642455319344817,"WFIKKN2","","OpenSea"
"4","cg00004438",-3.47779307594139,0.010296902416396,-0.267725451975261,-0.051010328416454,-0.159367890195857,"DDX19A","","OpenSea"
"5","cg00006166",-2.6712585889027,0.0319413567408274,-0.178502815056345,-0.010869016245297,-0.0946859156508208,"LOC151484","","OpenSea"
"6","cg00008446",-2.91075274876758,0.0226362491380968,-0.161842264204532,-0.0167545698673952,-0.0892984170359634,"NTRK1","Unclassified_Cell_type_specific","Island"
"7","cg00008971",-3.05094721620592,0.0185584427745617,-0.134425223617013,-0.0170358970498664,-0.0757305603334396,"MMACHC","","S_Shore"
"8","cg00009167",3.08752753978064,0.0176280614545608,0.0497343707805369,0.375097669597914,0.212416020189226,"KIAA1324","Promoter_Associated","Island"
"9","cg00010529",-2.45966638298571,0.0434865818325723,-0.279668854590887,-0.00550968547251706,-0.142589270031702,"LOC101929224","","N_Shore"
"10","cg00014020",-2.59835426981321,0.035510140430216,-0.279013464314535,-0.0131400572895297,-0.146076760802032,"PDE4C","Unclassified","S_Shore"
"11","cg00014900",-2.36932494970926,0.049655491315226,-0.24664681125384,-0.000244914373136359,-0.123445862813488,"DPH2","","N_Shore"
"12","cg00016012",-2.52952736756742,0.0392600497571784,-0.40538729597982,-0.013659084042655,-0.209523190011237,"CAPN11","","OpenSea"
"13","cg00019826",2.39712298085034,0.0476672260567008,0.00176826853236325,0.259088523845579,0.130428396188971,"NA","","N_Shore"
"14","cg00020063",-2.85474738972564,0.0245212226054257,-0.376490264033587,-0.0353541771625976,-0.205922220598092,"COL23A1","","OpenSea"
"15","cg00020191",2.40886324426082,0.0468521506022902,0.00341996920111972,0.36902242192201,0.186221195561565,"SYT1","Unclassified_Cell_type_specific","OpenSea"
"16","cg00020405",2.55310415880905,0.0379313658819781,0.0274164466188721,0.715336931353604,0.371376688986238,"SFRS12","","N_Shore"
"17","cg00021413",-5.67707175995006,0.000753013125612991,-0.408277231106496,-0.168173093705174,-0.288225162405835,"MYH11","","OpenSea"
"18","cg00021663",-2.7955639686233,0.0266939139624915,-0.249314502043724,-0.0208208531117936,-0.135067677577759,"NA","","OpenSea"
"19","cg00021892",-3.69735316027809,0.00768174492705894,-0.143886521582149,-0.0316335271238697,-0.0877600243530093,"S100A16","","OpenSea"
"20","cg00022076",2.46786603048669,0.0429671247661712,0.00704832276742254,0.329914416851821,0.168481369809622,"PLA2G15","","OpenSea"
"21","cg00022218",-2.7580978903956,0.0281731111799839,-0.16265037583528,-0.0124930912625513,-0.0875717335489158,"BBX","Promoter_Associated","N_Shore"
"22","cg00024046",3.35411774131411,0.012181930530996,0.0665993929846808,0.384908793559489,0.225754093272085,"NA","","OpenSea"
"23","cg00024170",-2.6463070435171,0.0331187674652452,-0.630477742733217,-0.0354414619479114,-0.332959602340564,"ZNF821","","Island"
"24","cg00025663",-2.84868873339705,0.024734837629969,-0.255013642303243,-0.0236784261696842,-0.139346034236463,"NOL10","Promoter_Associated_Cell_type_specific","N_Shelf"
"25","cg00025982",-3.14737179552272,0.0162114312280039,-0.551744690413627,-0.0783521609242907,-0.315048425668959,"NA","","OpenSea"
"26","cg00026119",2.52069650807732,0.0397700256422377,0.0213411482782307,0.668013374492154,0.344677261385192,"DNAH10","","N_Shore"
"27","cg00027499",3.55548856821225,0.00927529524912473,0.0440094349804023,0.218782960060016,0.131396197520209,"PHKG2","Promoter_Associated","Island"
"28","cg00028813",-3.89031638860953,0.00597295475866228,-0.298317033505934,-0.0727648715693398,-0.185540952537637,"NA","","OpenSea"
"29","cg00028899",-2.36618239660345,0.0498855356635178,-0.60887402819997,-0.000200539590754256,-0.304537283895362,"CDX1","","OpenSea"
"30","cg00031456",-2.38134908287783,0.0487852522779093,-0.297527095338016,-0.00104848681641672,-0.149287791077216,"PRPF38B","Promoter_Associated","Island"
"31","cg00033215",2.46557214692688,0.0431117983823358,0.00700013039234485,0.334945116967197,0.170972623679771,"ITIH2","","OpenSea"
"32","cg00033334",-8.71412762876475,5.25968369558562e-05,-0.446494714739032,-0.255897029714274,-0.351195872226653,"SETD8","","S_Shelf"
"33","cg00033748",-2.99286104989226,0.0201445936074674,-0.408338950680562,-0.0478832027640682,-0.228111076722315,"ITGA8","","OpenSea"
"34","cg00033834",-2.51869712565377,0.0398864358308553,-0.354302578210639,-0.0111785426956499,-0.182740560453144,"KNDC1","","Island"
"35","cg00034241",3.15531528400076,0.016032716569682,0.049955951531795,0.348750422853245,0.19935318719252,"GFOD1","","OpenSea"
"36","cg00034781",-3.14985636916733,0.0161553052884472,-0.355575882895646,-0.0506320762890089,-0.203103979592328,"USP40","","OpenSea"
"37","cg00035623",2.51790661245137,0.0399325589767583,0.015386164040285,0.490098276051768,0.252742220046027,"UBE2S","Unclassified","S_Shore"
"38","cg00035636",3.52276181679553,0.00969160707217196,0.0828333950134248,0.421083116938676,0.25195825597605,"NA","","Island"
"39","cg00036386",2.74281125014746,0.0288011016172495,0.019744409647748,0.266649300957475,0.143196855302612,"MOGS","Promoter_Associated","Island"
"40","cg00036570",-2.39698003455478,0.0476772391929651,-0.334253161049181,-0.00227129809268954,-0.168262229570935,"USP40","","N_Shore"
"41","cg00037400",3.23050201672808,0.0144417022946664,0.0970550918671432,0.627150292853742,0.362102692360443,"CPNE7","Unclassified","Island"
"42","cg00039840",-2.39836374819626,0.0475804029008081,-0.159365346631073,-0.0011288935793266,-0.0802471201051999,"NA","","OpenSea"
"43","cg00040312",2.94675760019362,0.0215057100203809,0.106513085217158,0.971824873390152,0.539168979303655,"HOXC4","Unclassified_Cell_type_specific","Island"
"44","cg00041030",-2.61881594777045,0.034468490478561,-0.54438370093361,-0.02776752820862,-0.286075614571115,"NA","","OpenSea"
"45","cg00042881",4.49420741817916,0.00281782594408948,0.141429942032165,0.45550893746928,0.298469439750723,"NA","","OpenSea"
"46","cg00043284",-3.08171489902442,0.0177725207845037,-0.159590877836294,-0.0210124861392155,-0.0903016819877546,"TBC1D16","","N_Shore"
"47","cg00043364",-2.75948060335777,0.0281170199028247,-0.586659473552446,-0.0452071583257099,-0.315933315939078,"PHF15","","OpenSea"
"48","cg00043784",-3.29926613712997,0.013133966955268,-0.336104288660167,-0.0554631400911193,-0.195783714375643,"NA","","OpenSea"
"49","cg00043819",-2.5918250893404,0.0358493620019642,-0.438745400838107,-0.0201118413145254,-0.229428621076316,"NA","","Island"
"50","cg00045025",2.80514480445503,0.0263288974107636,0.0355284182787558,0.416946987454797,0.226237702866777,"FOXP1","","OpenSea"
"51","cg00045967",2.98624699688728,0.0203341197951951,0.0362739450621335,0.312242772921642,0.174258358991888,"ARRDC1","Promoter_Associated","Island"
"52","cg00046501",-2.4562281511914,0.043706316232539,-0.389602963439398,-0.00740307890895313,-0.198503021174175,"ADRA1D","","N_Shelf"
