"","cpg","t","p.value","conf.int_0.025","conf.int_0.975","delta_M","UCSC_RefGene_Name","Regulatory_Feature_Group","Relation_to_Island"
"1","cg00000974",3.19746901243555,0.0151188790845589,0.119610468631265,0.798809830067282,0.459210149349274,"BMP2","Unclassified_Cell_type_specific","S_Shore"
"2","cg00003241",-2.60013056228565,0.0354184315359384,-0.618360718058257,-0.02933233499874,-0.323846526528499,"PTPRN2","","OpenSea"
"3","cg00003994",-3.83920006728878,0.00638115667511798,-0.373694687093526,-0.0888228163336416,-0.231258751713584,"MEOX2","","OpenSea"
"4","cg00004778",2.36612167153724,0.0498899916276388,5.83764070173456e-05,0.18442652011378,0.0922424482603989,"NA","","OpenSea"
"5","cg00004859",-2.62325745492541,0.0342466098208251,-0.305253731342268,-0.0158281120145888,-0.160540921678428,"NA","","OpenSea"
"6","cg00005619",2.82044194488211,0.0257569287546065,0.0376702386345359,0.428510529171353,0.233090383902944,"FAM180B","","N_Shelf"
"7","cg00005854",2.55685966660252,0.0377240575456803,0.0126750808686089,0.324499034964625,0.168587057916617,"SF3A2","","OpenSea"
"8","cg00009167",-3.12999770879044,0.0166097674727917,-0.48546629659854,-0.0676230358447902,-0.276544666221665,"KIAA1324","Promoter_Associated","Island"
"9","cg00009750",-2.68721936739397,0.0312111621704608,-0.436589505989452,-0.02787925614184,-0.232234381065646,"CDK15","","OpenSea"
"10","cg00010168",5.84889402700341,0.000631309749337291,0.357730817353369,0.843283900656854,0.600507359005112,"MMS19","Promoter_Associated","Island"
"11","cg00011777",-2.71453944450275,0.0300014557908892,-0.430677840563379,-0.0296703805350139,-0.230174110549196,"NA","","OpenSea"
"12","cg00011855",3.44102672144843,0.0108221168763836,0.0666572825558593,0.359520651585467,0.213088967070663,"TMCO3","","S_Shore"
"13","cg00012199",-3.15477150077459,0.016044883463796,-0.540785562236474,-0.0774179355077245,-0.309101748872099,"ANG","Promoter_Associated","Island"
"14","cg00012992",2.77944950798777,0.0273198862146182,0.0155575816029806,0.192923034585493,0.104240308094237,"PRKCH","Promoter_Associated","Island"
"15","cg00013660",3.80530847806096,0.00666851273586507,0.061973172838219,0.265408824800139,0.163690998819179,"NA","","N_Shore"
"16","cg00015024",3.57287548149407,0.00906201840561222,0.103470466982681,0.508466993360509,0.305968730171595,"CCNJ","Promoter_Associated","Island"
"17","cg00016223",2.8151007440817,0.0259551408235186,0.016634866461675,0.191273096483196,0.103953981472436,"STK38","Promoter_Associated","Island"
"18","cg00016576",2.38194815363164,0.0487423049225378,0.00113723086327494,0.31158965352509,0.156363442194183,"MAPKAP1","","OpenSea"
"19","cg00018606",-3.65275695411894,0.00814810704084203,-0.490121977821805,-0.104919752675765,-0.297520865248785,"CRYGD","","S_Shore"
"20","cg00019275",-3.42012859641902,0.011133465144275,-0.496046494285498,-0.0905102160300791,-0.293278355157788,"ZNF599","","OpenSea"
"21","cg00019308",2.45696506053489,0.0436591250429825,0.00579741135843584,0.302712711357856,0.154255061358146,"NA","","OpenSea"
"22","cg00021325",-2.50272345717472,0.0408291997075012,-0.510140098948422,-0.0144739900692457,-0.262307044508834,"NA","Promoter_Associated","OpenSea"
